title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Encanto,7.63,8611,2021-10-13,253000000,102,False,50000000,en,Encanto,147.124,"Animation, Comedy, Family, Fantasy","Walt Disney Animation Studios, Walt Disney Pictures",United States of America,"Spanish, English","strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia"
Unbreakable,7.134,8607,2000-11-22,248118121,106,False,75000000,en,Unbreakable,23.98,"Thriller, Drama, Mystery","Limited Edition Productions Inc., Barry Mendel Productions, Blinding Edge Pictures, Touchstone Pictures",United States of America,English,"philadelphia, pennsylvania, parent child relationship, marriage crisis, superhero, train accident, invulnerability, super power"
Star Trek Into Darkness,7.328,8589,2013-05-05,467365246,132,False,190000000,en,Star Trek Into Darkness,35.898,"Action, Adventure, Science Fiction","Bad Robot, Paramount, Skydance",United States of America,English,"spacecraft, friendship, sequel, alien, futuristic, space, mysterious force, space opera, terrorist bombing, new beginning"
The Batman,7.705,8584,2022-03-01,770945583,177,False,185000000,en,The Batman,100.817,"Crime, Mystery, Thriller","6th & Idaho, Dylan Clark Productions, DC Films, Warner Bros. Pictures",United States of America,English,"police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, vengeance, mayoral election, the batman saga"
xXx: Return of Xander Cage,6.138,8541,2017-01-13,346147658,107,False,85000000,en,xXx: Return of Xander Cage,60.062,"Action, Adventure, Crime","Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount","Canada, China, United States of America",English,"airplane, tattoo, spy, extreme sports, parachute, secret agent, swimming pool, sequel, back from the dead, dominican republic, free fall"
A Bug's Life,6.969,8541,1998-11-25,363258859,95,False,120000000,en,A Bug's Life,58.168,"Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",United States of America,English,"fight, winter, ant-hill, ant, invention, collector, anthropomorphism, grass, duringcreditsstinger"
Cruella,8.055,8507,2021-05-26,233503234,134,False,200000000,en,Cruella,77.792,"Comedy, Crime","Walt Disney Pictures, Gunn Films, Marc Platt Productions","United Kingdom, United States of America","English, French","1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake"
Indiana Jones and the Temple of Doom,7.294,8505,1984-05-23,333000000,118,False,28000000,en,Indiana Jones and the Temple of Doom,53.304,"Adventure, Action","Paramount, Lucasfilm Ltd.",United States of America,"Mandarin, English, Sinhalese","treasure, skeleton, wind, elephant, heart, riddle, crocodile, bridge, treasure hunt, torture, india, monkey, archaeologist, conveyor belt, child driving car, mine car, rope bridge, splits, adventurer, archeology, 1930s"
Watchmen,7.333,8485,2009-03-04,185258983,163,False,130000000,en,Watchmen,52.384,"Action, Mystery, Science Fiction","DC Comics, Lawrence Gordon Productions, Legendary Pictures, Warner Bros. Pictures, Paramount, Cruel & Unusual Films",United States of America,English,"usa president, nuclear war, mass murder, secret identity, narration, soviet union, retirement, based on comic, conspiracy, animated scene, doomsday, masked vigilante, doomsday clock, red square, 1980s"
The Nightmare Before Christmas,7.841,8484,1993-10-09,75634409,76,False,24000000,en,The Nightmare Before Christmas,106.816,"Fantasy, Animation, Family","Tim Burton Productions, Skellington Productions Inc., Touchstone Pictures, Walt Disney Pictures",United States of America,English,"skeleton, fire, magic, holiday, santa claus, halloween, musical, christmas tree, saving christmas, pumpkin, woods, stop motion, christmas"
Shang-Chi and the Legend of the Ten Rings,7.589,8481,2021-09-01,432243292,132,False,150000000,en,Shang-Chi and the Legend of the Ten Rings,89.764,"Action, Adventure, Fantasy",Marvel Studios,United States of America,"English, Mandarin","martial arts, superhero, based on comic, mixed martial arts, east asian lead, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), father son relationship"
Alita: Battle Angel,7.219,8450,2019-01-31,404980543,122,False,170000000,en,Alita: Battle Angel,47.667,"Action, Science Fiction, Adventure","Troublemaker Studios, Lightstorm Entertainment, 20th Century Fox, TSG Entertainment",United States of America,"English, Spanish","martial arts, bounty hunter, dystopia, extreme sports, superhero, cyberpunk, based on manga, female cyborg, live action remake, floating city, gunnm"
Godzilla,6.289,8360,2014-05-14,529076069,123,False,160000000,en,Godzilla,44.153,"Action, Drama, Science Fiction",Legendary Pictures,United States of America,"English, Japanese, Tagalog","japan, monster, san francisco, california, hawaii, giant monster, tsunami, remake, prehistoric creature, golden gate bridge, dinosaur, kaiju, honolulu, hawaii, disaster movie, global threat, animal horror, godzilla, monsterverse, cliché, excited"
The Twilight Saga: Breaking Dawn - Part 2,6.468,8352,2012-11-13,829747654,115,False,120000000,en,The Twilight Saga: Breaking Dawn - Part 2,60.798,"Adventure, Fantasy, Drama, Romance","Summit Entertainment, Temple Hill Entertainment, Sunswept Entertainment, Lionsgate",United States of America,English,"based on novel or book, vampire, villainess, romance, teen movie, werewolf, supernatural creature, super strength, imprinting, cross breed, bloodsucker, grudge, chief of police, wolf pack, misinformation, seeing the future, based on young adult novel"
The Pianist,8.382,8351,2002-09-17,120072577,150,False,35000000,en,The Pianist,49.528,"Drama, War","Canal+ Polska, Bac Films, Heritage Films, Studio Babelsberg, Agencja Produkcji Filmowej, FFF Bayern, Filmboard Berlin-Brandenburg (FBB), R.P. Productions, StudioCanal, Canal+, TVP, Runteam, FFA","France, Germany, Poland, United Kingdom","English, Polish, German, Russian","concert, nazi, resistance, warsaw ghetto, polish resistance, homeland, holocaust (shoah), hunger, world war ii, prisoner of war, ghetto, deportation, jew persecution, liberation, biography, survival, based on memoir or autobiography, pianist, poland"
The Mummy,6.906,8327,1999-04-16,415885488,124,False,80000000,en,The Mummy,55.481,"Adventure, Action, Fantasy","Universal Pictures, Alphaville Films",United States of America,"English, Arabic","egypt, cairo, library, secret passage, pastor, pyramid, sandstorm, solar eclipse, mummy, foreign legion, nile, secret society, treasure hunt, remake, archaeologist, tomb, book of the dead, ancient egypt, opposites attract, 1920s, pharoah, good versus evil"
Saw,7.4,8327,2004-10-01,103911669,103,False,1200000,en,Saw,174.783,"Horror, Mystery, Crime","Twisted Pictures, Evolution Entertainment, Saw Productions Inc., Lionsgate",United States of America,English,"sadism, shotgun, detective, flashback, hospital, doctor, torture, sadist, survival horror, chained, bludgeoning, death match, booby trap, mind game, extreme violence, death game"
The Big Short,7.344,8320,2015-12-11,133346506,131,False,28000000,en,The Big Short,34.348,"Comedy, Drama","Plan B Entertainment, Paramount, Regency Enterprises",United States of America,English,"based on novel or book, bank, fraud, wall street, biography, based on true story, finances, animated scene, historical fiction, loan, financial crisis, real estate, mortgage"
Shrek the Third,6.287,8318,2007-05-17,813367380,93,False,160000000,en,Shrek the Third,60.817,"Fantasy, Adventure, Animation, Comedy, Family","DreamWorks Animation, Pacific Data Images, Paramount",United States of America,English,"ship, island, ambush, kingdom, boarding school, liberation of prisoners, pregnancy, traitor, shipwreck, stage, sadness, transformation, assault, prince, theater play, tricks, heir to the throne, conciliation, sequel, teacher, best friend, dragon, cowardliness, capture, duringcreditsstinger, ogre, cartoon donkey, shrek cinematic universe"
Snatch,7.801,8309,2000-09-01,83557872,103,False,10000000,en,Snatch,36.73,"Crime, Comedy","SKA Films, Columbia Pictures, Screen Gems","United Kingdom, United States of America","English, Russian","robbery, trailer park, england, gypsy, gambling, bare knuckle boxing, slang, antwerp, pig, gangster, boxer, underground fighting, diamond heist, pikey"
We're the Millers,6.814,8306,2013-08-07,269994119,110,False,37000000,en,We're the Millers,32.293,"Comedy, Crime","Vincent Newman Entertainment, New Line Cinema, Newman/Tooley Films, Slap Happy Productions (II), BenderSpink, Heyday Films, Warner Bros. Pictures, Warner Bros. Entertainment",United States of America,English,"drug dealer, mexico, drug smuggling, fireworks, camping, denver, colorado, carnival, witness protection, stripper, road trip, breaking the fourth wall, marijuana, drug stealing, man child, drugs, drug lord, first kiss, strip tease, dea, homeless girl, drug syndicate, drug gang, 4th of july, drug money, pretend family, rv"
The Twilight Saga: Breaking Dawn - Part 1,6.201,8228,2011-11-16,712171856,117,False,110000000,en,The Twilight Saga: Breaking Dawn - Part 1,79.868,"Adventure, Fantasy, Romance","Summit Entertainment, Sunswept Entertainment, TSBD Canada Productions, TSBD Louisiana, TSBD Productions, Temple Hill Entertainment, Total Entertainment",United States of America,"English, Portuguese","based on novel or book, vampire, hybrid, teen movie, werewolf, supernatural creature, dead, duringcreditsstinger, based on young adult novel"
The Twilight Saga: Eclipse,6.214,8226,2010-06-23,698491347,124,False,68000000,en,The Twilight Saga: Eclipse,55.604,"Adventure, Fantasy, Drama, Romance","Summit Entertainment, Temple Hill Entertainment, Imprint Entertainment, Maverick Films, Sunswept Entertainment",United States of America,English,"based on novel or book, immortality, vampire, bite, graduation, teen movie, werewolf, based on young adult novel, supernatural power, vampire human love"
Elysium,6.499,8224,2013-08-07,286140700,109,False,115000000,en,Elysium,29.224,"Science Fiction, Action, Drama, Thriller","Genre Films, TriStar Pictures, MRC, QED International, Alpha Core, Simon Kinberg Productions, Sony Pictures",United States of America,English,"future, dystopia, space station, class conflict"
Corpse Bride,7.527,8216,2005-09-12,118133252,77,False,40000000,en,Corpse Bride,77.94,"Romance, Fantasy, Animation","Tim Burton Productions, Laika Entertainment, Patalex Productions, Warner Bros. Pictures, Will Vinton Studios, Tim Burton Animation Company",United States of America,English,"skeleton, love triangle, cheating, wedding vows, shyness, arranged marriage, marriage, grave, musical, wedding ring, money, stop motion, wedding, corpse, wedding ceremony, playing piano, parents, dark fantasy, ring, scoundrel, 19th century, underworld"
Mission: Impossible - Rogue Nation,7.19,8182,2015-07-23,682716636,131,False,150000000,en,Mission: Impossible - Rogue Nation,64.814,"Action, Adventure","Paramount, Bad Robot, Odin, Skydance",United States of America,"German, English, Swedish","mission, london, england, spy, morocco, villain, austria, europe, sequel, conspiracy, vienna, austria, vienna opera"
The King's Speech,7.74,8145,2010-11-26,414211549,118,False,15000000,en,The King's Speech,29.833,"Drama, History","The Weinstein Company, UK Film Council, Momentum Pictures, Aegis Film Fund, Molinare Investment, FilmNation Entertainment, See-Saw Films, Bedlam Productions","United Kingdom, United States of America",English,"great britain, marriage, stutter, monarchy, palace, radio, radio transmission, royal family, based on true story, death of father, speech, royalty, historical fiction, 1930s, british royal family, british monarchy, winston churchill, speech therapy, corgi"
The Equalizer,7.247,8145,2014-09-24,192330738,132,False,55000000,en,The Equalizer,186.613,"Thriller, Action, Crime","Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",United States of America,English,"assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice"
Ghostbusters,7.467,8143,1984-06-08,296187079,107,False,30000000,en,Ghostbusters,29.78,"Comedy, Fantasy","Columbia Pictures, Delphi Films, Black Rhino Productions",United States of America,English,"new york city, environmental protection agency, library, supernatural, paranormal phenomena, loser, slime, gatekeeper, nerd, giant monster, haunting, hybrid, possession, mythology, horror spoof, paranormal investigation, urban setting, super power, receptionist, world trade center, ghost, duringcreditsstinger, ghostbusters"
The Hangover Part III,6.211,8097,2013-05-23,362000072,100,False,103000000,en,The Hangover Part III,48.629,Comedy,"Green Hat Films, Legendary Pictures, BenderSpink",United States of America,English,las vegas
Mission: Impossible,6.968,8089,1996-05-22,457731198,110,False,80000000,en,Mission: Impossible,44.884,"Adventure, Action, Thriller","Paramount, Cruise/Wagner Productions",United States of America,"English, French, Czech","mission, london, england, cia, computer, paris, france, undercover, espionage, secret mission, arms deal, spy, secret identity, headquarter, embassy, secret base, prague, czech republic, secret agent, tgv, terrorism, agent"
Hotel Transylvania,7.0,8037,2012-09-20,358375603,91,False,85000000,en,Hotel Transylvania,50.394,"Animation, Comedy, Family, Fantasy","Columbia Pictures, Sony Pictures Animation",United States of America,English,"hotel, witch, vampire, romance, love, zombie, invisible person, duringcreditsstinger, nosferatu, protective father, magical creature, father daughter relationship"
San Andreas,6.229,8036,2015-05-27,473990832,114,False,110000000,en,San Andreas,142.742,"Action, Drama, Thriller","New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures","Canada, United States of America, Australia",English,"california, earthquake, disaster, tidal wave, catastrophe, disaster movie, san andreas, california, helicopter crash, rescue operation, 末日"
War for the Planet of the Apes,7.16,8030,2017-07-11,490719763,140,False,150000000,en,War for the Planet of the Apes,41.094,"Drama, Science Fiction, War","20th Century Fox, TSG Entertainment, Chernin Entertainment","Canada, United States of America, New Zealand",English,"suicide, based on novel or book, slavery, sequel, anthropomorphism, revenge, ape, avalanche, virus, father son relationship, 2040s"
It Chapter Two,6.854,8021,2019-09-04,473122525,169,False,79000000,en,It Chapter Two,72.553,"Horror, Fantasy","New Line Cinema, Vertigo Entertainment, Double Dream, Rideback",United States of America,English,"based on novel or book, clown, carnival, sequel, remake, maine, creature, fear, lgbt, ancient evil, loss of a friend"
Annihilation,6.398,8014,2018-02-22,43070915,115,False,40000000,en,Annihilation,32.793,"Science Fiction, Horror","DNA Films, Paramount, Scott Rudin Productions, Skydance","United Kingdom, United States of America",English,"depression, florida, quarantine, coma, based on novel or book, mutation, self-destruction, professor, dna, expedition, transformation, alligator, hybrid, swamp, meteor, grief, physicist, cancer, memory loss, psychologist, scientist, paramedic, missing person, beast, geologist, biologist, unusual phenomena, compound, missing husband, fauna, mysterious life form, flora"
Minority Report,7.3,8013,2002-06-20,358372926,145,False,102000000,en,Minority Report,30.06,"Action, Thriller, Science Fiction, Mystery","Digital Image Associates, Cruise/Wagner Productions, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Amblin Entertainment, 20th Century Fox, DreamWorks Pictures",United States of America,"English, Swedish","washington dc, usa, police chief, precognition, hologram, futuristic, murder, conspiracy, police chase, drugs, home video, based on short story, ex-husband ex-wife relationship, mentor protégé relationship, tech noir, stasis, prevention, missing son, future noir, loss of child, surveillance state, psychic vision, conspiracy thriller, 2050s"
Dallas Buyers Club,7.932,8004,2013-11-01,55736588,117,False,5000000,en,Dallas Buyers Club,20.121,"Drama, History","Truth Entertainment, Voltage Pictures, CE, Evolution Independent, R² Films, Rainmaker Films, Focus Features",United States of America,"English, Japanese","aids, homophobia, rodeo, texas, biography, dallas texas, based on true story, hiv, drugs, lgbt, treatment, 1980s, trans woman"
Doctor Strange in the Multiverse of Madness,7.355,7991,2022-05-04,955775804,126,False,200000000,en,Doctor Strange in the Multiverse of Madness,96.53,"Fantasy, Action, Adventure","Marvel Studios, Kevin Feige Productions",United States of America,"Cantonese, English, Spanish","magic, superhero, based on comic, alternate reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
Transformers: Revenge of the Fallen,6.2,7939,2009-06-19,836303693,149,False,200000000,en,Transformers: Revenge of the Fallen,14.169,"Science Fiction, Action, Adventure","DreamWorks Pictures, Paramount, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions",United States of America,"Spanish, English","egypt, chaos, sun, tank, symbol, alien, artifact, revenge, based on toy, robot, duringcreditsstinger, transformers"
Jumanji: The Next Level,6.931,7932,2019-12-04,801693929,123,False,125000000,en,Jumanji: The Next Level,38.772,"Adventure, Comedy, Fantasy","Columbia Pictures, Seven Bucks Productions, Matt Tolmach Productions, The Detective Agency",United States of America,English,"magic, animal attack, body-swap, adventurer, superhuman strength, duringcreditsstinger, action hero, trapped in a game"
Mean Girls,7.186,7931,2004-04-30,130126277,97,False,17000000,en,Mean Girls,56.332,Comedy,"Broadway Video, Paramount, M.G. Films","Canada, United States of America","Swahili, English, German, Vietnamese","based on novel or book, africa, illinois, female friendship, bullying, coming of age, prom, teenage girl, fish out of water, best friend, math teacher, gossip, clique, former best friend, teen comedy, exploitation of friendship, public humiliation, high school rivalry, new girl at school, teenage life, christmas, manipulative friend, math genius, female bully, teenage friendship, teenager, hilarious"
Solo: A Star Wars Story,6.563,7904,2018-05-15,392952373,135,False,250000000,en,Solo: A Star Wars Story,55.759,"Science Fiction, Adventure, Action","Lucasfilm Ltd., Allison Shearmur Productions, Imagine Entertainment",United States of America,English,"spacecraft, smuggling (contraband), prequel, spin off, space opera"
The Purge,6.25,7870,2013-05-31,89328627,86,False,3000000,en,The Purge,33.071,"Science Fiction, Horror, Thriller","Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions","France, United States of America",English,"california, dystopia, barricade, bloody fight, home invasion, blood lust, rich vs poor, constitutional convention, legalized murder, social allegory, bloody, bloody death, bloody deaths, family's house, ethan hawke"
Terminator Genisys,5.924,7870,2015-06-23,440603537,126,False,155000000,en,Terminator Genisys,67.345,"Science Fiction, Action, Thriller, Adventure","Skydance, Paramount, Annapurna Pictures","Canada, United States of America",English,"future, artificial intelligence (a.i.), saving the world, cyborg, killer robot, dystopia, time travel, sequel, robot, duringcreditsstinger, terminator"
Lady Bird,7.271,7861,2017-09-01,78966486,94,False,10000000,en,Lady Bird,25.85,"Drama, Comedy","IAC Films, Scott Rudin Productions, Entertainment 360",United States of America,English,"friendship, loss of virginity, coming of age, teen angst, high school graduation, teenage girl, best friend, loss of job, high school student, catholic school, first love, sacramento, woman director, father daughter relationship, mother daughter relationship, college applications, 2000s, empathetic"
Sicario,7.39,7836,2015-09-17,84872444,122,False,30000000,en,Sicario,43.821,"Action, Crime, Thriller","Thunder Road, Black Label Media, Lionsgate","Mexico, United States of America","Spanish, English","cia, mexico, bomb, fbi, smoking, texas, border, murder, dirty cop, football (soccer), drugs, night vision, death of daughter, tunnel, el paso, moral dilemma, neo-noir, death of wife, mexican cartel, secret tunnel"
Wonder Woman 1984,6.478,7835,2020-12-16,169601036,151,False,200000000,en,Wonder Woman 1984,48.128,"Action, Adventure, Fantasy","Warner Bros. Pictures, The Stone Quarry, DC Films, Atlas Entertainment",United States of America,English,"superhero, based on comic, 1980s, action hero, dc extended universe (dceu)"
Alien: Covenant,6.1,7822,2017-05-09,240891763,122,False,97000000,en,Alien: Covenant,92.533,"Science Fiction, Horror, Mystery","Scott Free Productions, Brandywine Productions, 20th Century Fox","United Kingdom, United States of America","English, German","android, spacecraft, experiment, space travel, infection, engineer, alien life-form, sequel, alien, space, creature, robot, scientist, genocide, creation, acid, xenomorph, alien technology, genetic mutation"
Glass,6.677,7793,2019-01-16,246999039,129,False,20000000,en,Glass,31.843,"Thriller, Drama, Science Fiction","Universal Pictures, Blumhouse Productions, Blinding Edge Pictures, Buena Vista International, Perfect World Pictures",United States of America,"English, Spanish","superhero, villain, sequel, psychiatric hospital, comic book shop, super power, mental illness, multiple personality, dissociative identity disorder, surveillance specialist"
Oldboy,8.274,7790,2003-11-21,15194593,120,False,3000000,ko,올드보이,53.128,"Drama, Thriller, Mystery, Action","Show East, CJ Entertainment, Egg Film, Cineclick Asia",South Korea,Korean,"daughter, rage and hate, hostility, transformation, imprisonment, dark comedy, hypnosis, sushi restaurant, notebook, time, sin, alcoholism, flashback, revenge, loneliness, torture, based on manga, urination, rage, anger, catholic, incest, hopeless, captivity, neo-noir, father daughter relationship, asian origins, remade, south korea, hammer, driven to suicide, audacious, pessimistic"
After,7.137,7781,2019-04-11,69497587,106,False,14000000,en,After,155.287,"Romance, Drama","CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment",United States of America,English,"based on novel or book, love, teenage crush"
About Time,7.905,7781,2013-09-04,87100449,123,False,12000000,en,About Time,35.707,"Drama, Romance, Fantasy","Working Title Films, Translux, Universal Pictures, Relativity Media",United Kingdom,English,"london, england, parent child relationship, time travel, family secrets, cornwall, england, love, family, second chance, time-manipulation, celebratory"
Ocean's Eight,6.985,7780,2018-06-07,297718711,111,False,70000000,en,Ocean's Eight,30.268,"Crime, Comedy, Action","Village Roadshow Pictures, Warner Bros. Pictures, Larger Than Life Productions, Rahway Road Productions, Smoke House Pictures",United States of America,"English, German","new york city, heist, spin off, estranged sister, the met gala"
"Crazy, Stupid, Love.",7.3,7773,2011-07-29,145079584,118,False,50000000,en,"Crazy, Stupid, Love.",39.835,"Comedy, Drama, Romance",Warner Bros. Pictures,United States of America,English,"friendship, soulmates, marriage crisis, midlife crisis, babysitter, womanizer, law school, los angeles, california, middle school, relationship, love affair, divorcee, teenage love"
The Conjuring 2,7.293,7769,2016-06-08,321834351,134,False,40000000,en,The Conjuring 2,80.98,"Horror, Thriller","New Line Cinema, Dune Entertainment, The Safran Company, Evergreen Media Group, Atomic Monster",United States of America,English,"london, england, england, 1970s, spirit, single mother, demon, paranormal investigation, demonic possession, ghost, christmas, valak, the conjuring universe"
Spotlight,7.814,7765,2015-11-06,98690254,129,False,20000000,en,Spotlight,20.159,"Drama, History","Participant, Anonymous Content, Rocklin / Faust, First Look Media, Open Road Films, Entertainment One, Topic Studios, Seville International","Canada, United States of America",English,"pedophilia, florida, newspaper, journalist, child abuse, court, judge, boston, massachusetts, journalism, sex scandal, victim, based on true story, cover-up, priest, conspiracy, lawyer, historical fiction, catholic, catholic church, lgbt, catholicism, 9/11, child molestation, archdiocese, investigative journalism, cardinal"
Shaun of the Dead,7.54,7760,2004-04-09,30097092,99,False,6100000,en,Shaun of the Dead,46.212,"Horror, Comedy","WT2 Productions, StudioCanal, Working Title Films, Big Talk Productions, Film4 Productions, Rogue Pictures, Universal Pictures","France, United Kingdom, United States of America",English,"london, england, dark comedy, satire, surrey, parody, slacker, friends, survival, zombie, survival horror, british pub, boyfriend girlfriend relationship, zombie apocalypse"
"The Good, the Bad and the Ugly",8.473,7751,1966-12-23,38900000,161,False,1200000,it,"Il buono, il brutto, il cattivo",81.717,Western,"United Artists, PEA, Arturo González Producciones Cinematográficas, Constantin Film","United States of America, Italy, Spain, Germany",Italian,"gold, army, bounty hunter, hitman, refugee, anti hero, moral ambiguity, gallows, outlaw, shootout, spaghetti western, american civil war, dollars trilogy"
Argo,7.275,7750,2012-10-11,232325503,120,False,44500000,en,Argo,17.552,"Drama, Thriller","GK Films, Warner Bros. Pictures, Smoke House Pictures","United Kingdom, United States of America","Arabic, English, German, Persian","cia, husband wife relationship, revolution, press conference, biography, american abroad, extraction, iran hostage crisis, intelligence agent, langley virginia, 1980s, political thriller"
The Lost World: Jurassic Park,6.527,7740,1997-05-23,618638999,129,False,73000000,en,The Lost World: Jurassic Park,2.257,"Adventure, Action, Science Fiction","Universal Pictures, Amblin Entertainment, Digital Image Associates",United States of America,English,"exotic island, island, velociraptor, dna, tyrannosaurus rex, paleontology, san diego, california, dinosaur, creature, scientist, amusement park, theme park, costa rica, animal horror, father daughter relationship"
Transformers: Dark of the Moon,6.183,7736,2011-06-28,1123794079,154,False,195000000,en,Transformers: Dark of the Moon,10.499,"Action, Science Fiction, Adventure","Paramount, di Bonaventura Pictures, Tom DeSanto/Don Murphy Production, Ian Bryce Productions",United States of America,English,"spacecraft, moon, traitor, bodyguard, alien planet, based on toy, giant robot, sabotage, word domination, commando, duringcreditsstinger"
War of the Worlds,6.496,7728,2005-06-28,603873119,117,False,132000000,en,War of the Worlds,40.932,"Adventure, Thriller, Science Fiction","Paramount, Amblin Entertainment, Cruise/Wagner Productions, DreamWorks Pictures",United States of America,English,"daughter, new jersey, post-traumatic stress disorder (ptsd), airplane, based on novel or book, underground, dystopia, alien, remake, survival, disaster, apocalypse, creature, alien invasion, human subjugation"
Top Gun,7.0,7710,1986-05-16,356830601,110,False,15000000,en,Top Gun,50.029,"Romance, Drama, Action","Paramount, Don Simpson/Jerry Bruckheimer Films",United States of America,English,"dying and death, secret love, lovesickness, airplane, loss of loved one, self-discovery, hostility, fighter pilot, pilot, training camp, battle assignment, u.s. navy, cowardliness, pilot school, based on magazine, newspaper or article"
Source Code,7.297,7694,2011-03-30,147332697,94,False,32000000,en,Source Code,31.922,"Thriller, Science Fiction, Mystery","The Mark Gordon Company, Vendôme Pictures, Summit Entertainment, StudioCanal","Canada, France, United States of America",English,"race against time, bomb, virtual reality, identity, investigation, bomber, suspicion, surrealism, time loop, soldier, helicopter pilot, augmented reality"
The Suicide Squad,7.557,7692,2021-07-28,168717425,132,False,185000000,en,The Suicide Squad,63.194,"Action, Comedy, Adventure","DC Films, Atlas Entertainment, The Safran Company, Warner Bros. Pictures",United States of America,"English, French, Spanish","monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, dc extended universe (dceu), muscular men, character deaths"
Ice Age: Dawn of the Dinosaurs,6.737,7680,2009-06-26,886686817,94,False,90000000,en,Ice Age: Dawn of the Dinosaurs,57.649,"Animation, Comedy, Family, Adventure","Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",United States of America,English,"insanity, ice age, bridge, sequel, jungle, prehistory, dinosaur, creature, birth, duringcreditsstinger"
Twelve Monkeys,7.6,7677,1995-12-29,168841459,129,False,29000000,en,Twelve Monkeys,33.942,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions",United States of America,"English, French","biological weapon, philadelphia, pennsylvania, schizophrenia, stockholm syndrome, airplane, underground, insanity, asylum, paranoia, prison cell, dystopia, pimp, lion, post-apocalyptic future, time travel, florida keys, mental breakdown, past, dormitory, insane asylum, cockroach, volunteer, drug use, flashback, remake, psychiatric hospital, jail, mental institution, alternate history, disease, lethal virus, paradox, psychiatrist, monkey, epidemic, trapped, falling down stairs, street life, nonlinear timeline, medical research, tooth, pantyhose, gas mask, psychosis, child's point of view, subterranean, virus, recurring dream, 1990s, escaped animal, future noir, 2030s, cassandra syndrome, bullet, endless loop, stream, vivisection, nude pantyhose, microbiologist, real movie shown in fictional situation, kick in face, eating spider, reference to houdini, abandoned theater, tied to a bed, psychiatric care, hiding in a barn, reference to cassandra, biblical quote, person in a car trunk, watching a movie, world war one, lab animal, cassandra complex"
The Jungle Book,6.86,7668,2016-04-07,966550600,106,False,175000000,en,The Jungle Book,33.274,"Family, Adventure, Drama, Fantasy","Walt Disney Pictures, Fairview Entertainment, Moving Picture Company","United Kingdom, United States of America",English,"based on novel or book, snake, elephant, wolf, tiger, feral child, anthropomorphism, remake, jungle, bear, orphan, ape, monkey, animal, talking to animals, live action and animation, live action remake"
The Secret Life of Pets,6.266,7664,2016-06-18,875457937,86,False,75000000,en,The Secret Life of Pets,13.019,"Adventure, Comedy, Animation, Family","Illumination, Universal Pictures",United States of America,English,"bunny, pet, anthropomorphism, dog, animal, apartment building, sewer, terrier, manhattan, new york city, rodent, pets, mongrel, illumination"
Free Guy,7.55,7662,2021-08-11,331526598,115,False,110000000,en,Free Guy,62.599,"Comedy, Adventure, Science Fiction","Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios",United States of America,"Japanese, English","hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic"
12 Angry Men,8.54,7658,1957-04-10,1000000,97,False,350000,en,12 Angry Men,51.201,Drama,"United Artists, Orion-Nova Productions",United States of America,English,"death penalty, anonymity, court case, court, judge, jurors, father murder, class, sultriness, heat, innocence, puerto rico, based on play or musical, courtroom, courtroom drama, one location"
